author_name,book_title,author_average_rating,author_rating_count,author_review_count,book_average_rating,num_ratings,num_reviews,pages,genre_Childrens,genre_Classics,genre_Fantasy,genre_Fiction,genre_Historical,genre_History,genre_Horror,genre_Mystery,genre_New Adult,genre_Nonfiction,genre_Paranormal,genre_Romance,genre_Science Fiction,genre_Sequential Art,genre_Young Adult,author_gender_female,author_gender_male,starrating
"Victoria Thompson
","
      Murder on St. Mark's Place
",4.01,74399,6268,4.02,5260,375,277,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,***
"Stieg Larsson
","
      The Girl with the Dragon Tattoo
",4.15,3726435,142704,4.13,2229163,65227,465,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,***
"Mimi Jean Pamfiloff
","
      Tailored for Trouble
",4.0,76496,7975,3.99,2151,391,354,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,****
"José Donoso
","
      The Obscene Bird of Night
",3.88,5522,489,4.14,1844,173,438,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,**
"Patricia C. Wrede
","
      Sorcery & Cecelia: or The Enchanted Chocolate Pot
",4.1,291013,13453,4.01,17051,1890,326,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,***
"Steve Niles
","
      30 Days of Night, Vol. 1
",3.77,47938,3240,3.8,17122,561,104,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,****
"Jillian Dodd
","
      Stalk Me
",4.16,110522,9451,3.95,11684,1107,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,***
"Mary Roach
","
      Bonk: The Curious Coupling of Science and Sex
",3.94,321197,29747,3.84,45963,4268,319,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,***
"Nancy Baker
","
      Kiss of the Vampire
",3.78,1019,104,3.77,594,42,278,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,**
"Simone Elkeles
","
      Leaving Paradise
",4.08,481114,25166,4.01,40093,2375,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,***
"Brandon Sanderson
","
      Firefight
",4.39,2613993,170695,4.28,65071,5161,416,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,****
"K.L. Armstrong
","
      Loki's Wolves
",3.97,11972,1256,3.84,6739,825,358,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,*****
"Lisa Kleypas
","
      Devil in Winter
",4.03,800760,50323,4.25,48639,3046,368,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,*****
"Suzanne Collins
","
      Mockingjay
",4.26,10212155,370569,4.03,2034222,98584,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,*****
"Aldous Huxley
","
      Island
",3.99,1473109,31915,3.86,19914,1224,354,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,*****
"Sandrine Gasq-Dion
","
      Dirty Ross
",4.17,59146,4713,4.32,1078,85,284,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,***
"Jamie Fessenden
","
      Screwups
",3.81,8147,1761,3.78,480,107,204,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,***
"Zarah Detand
","
      Pull Me Under
",4.1,1926,264,4.22,1279,175,359,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,***
"Kendall McKenna
","
      Strength of the Mate
",3.98,9655,1474,4.25,1374,166,356,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,***
"Rhys Ford
","
      Tequila Mockingbird
",4.15,47018,7768,4.25,2285,295,250,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,***
"Megan Derr
","
      Of Last Resort
",3.93,86647,7924,3.87,1138,112,235,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,***
"Sam B. Morgan
","
      Slow Burn
",3.82,2375,364,3.83,1177,167,197,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,***
"Adrienne Wilder
","
      Complementary Colors
",4.12,17403,2966,4.25,1608,313,320,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,***
"Kate Sherwood
","
      Mark of Cain
",3.89,21944,3488,4.01,1076,192,338,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,***
"Piper Vaughn
","
      Wood, Screws, & Nails
",3.79,29952,4849,3.68,1365,266,166,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,***
"Nick Pageant
","
      Beauty And The Bookworm
",3.72,3055,837,3.73,2067,541,107,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,***
"K.A. Mitchell
","
      Bad Influence
",3.78,37469,4011,3.55,991,155,295,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,***
"Sarina Bowen
","
      The Understatement of the Year
",4.11,180010,24117,4.17,8197,1117,300,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,***
"Cat Grant
","
      The Only One Who Knows
",3.69,11854,2134,3.84,892,140,220,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,***
"L.A. Witt
","
      Payoff
",3.81,80131,13674,3.9,815,173,47,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,***
"Amy Rae Durreson
","
      Reawakening
",4.03,5530,1223,4.04,702,108,260,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,***
"K.C. Wells
","
      Personal Secrets
",3.93,34785,5550,4.0,819,96,285,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,***
"Indra Vaughn
","
      The House on Hancock Hill
",4.04,4819,1208,3.83,405,111,220,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,***
"Rob Colton
","
      Timber Pack Chronicles
",3.93,10954,1153,3.99,1848,218,252,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,***
"K.J. Charles
","
      Remnant: A Caldwell & Feximal/Whyborne & Griffin Mystery
",4.15,63964,11243,4.09,1248,224,51,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,***
"Leta Blake
","
      The River Leith
",4.06,21818,4398,3.91,1291,301,173,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,***
"Perie Wolford
","
      Turning 16
",3.93,2458,355,3.86,954,162,163,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,***
"Heidi Cullinan
","
      Tough Love
",3.98,58811,9801,3.83,1196,234,312,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,***
"Veronica Sloane
","
      Stories Beneath Our Skin
",3.96,967,225,3.99,891,206,210,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,***
"Amy Lane
","
      Beneath the Stain
",4.03,110984,15742,4.47,1913,427,350,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,***
"Josh Lanyon
","
      Fair Play
",4.04,151314,17953,4.16,2713,370,199,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,***
"Ais
","
      1/27: An ICoS Anthology
",4.35,18520,2461,4.39,1188,212,109,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,***
"Tara Lain
","
      Wolf in Gucci Loafers
",3.83,27322,4566,3.86,1011,139,235,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,***
"Jordan L. Hawk
","
      Bloodline
",4.21,55236,8808,4.45,2531,375,244,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,***
"Nicola Haken
","
      Being Sawyer Knight
",4.14,15603,2674,3.85,2813,380,316,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,***
"Alexa Land
","
      Salvation
",4.22,20530,2168,4.16,1267,105,284,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,****
"Charlie Cochet
","
      Rack & Ruin
",4.18,60011,9735,4.38,4514,599,206,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,****
"Mary Calmes
","
      Control
",4.03,153564,16417,3.84,1791,255,220,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,****
"Diane  Adams
","
      Last First Kiss
",3.94,8556,1174,4.05,807,145,275,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,****
"Jaime Reese
","
      A Hunted Man
",4.23,11075,1761,4.19,2243,298,379,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,****
"Keira Andrews
","
      A Forbidden Rumspringa
",3.99,32941,7088,4.19,2337,514,231,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,****
"Jay Northcote
","
      Not Just Friends
",3.8,35099,7032,3.76,1618,241,200,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,****
"Lane Hayes
","
      Better Than Chance
",3.99,22722,3910,3.99,1721,227,200,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,****
"Renae Kaye
","
      The Shearing Gun
",4.01,18217,3078,4.23,2174,394,214,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,****
"Garrett Leigh
","
      Only Love
",4.03,24844,5180,4.02,1866,329,274,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,****
"John  Wiltshire
","
      Love is a Stranger
",4.27,7661,1437,4.05,1444,325,296,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,****
"N.R. Walker
","
      Red Dirt Heart 2
",4.19,97218,16052,4.39,2829,445,352,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,****
"S.E. Harmon
","
      Stay with Me
",4.05,6400,1205,3.91,2403,365,290,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,****
"A.E. Via
","
      Nothing Special
",4.18,29942,4004,3.94,3807,498,255,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,****
"Jay Bell
","
      Something Like Spring
",4.18,25336,3155,4.52,1717,197,452,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,****
"Jordan Castillo Price
","
      Forget Me Not
",4.03,66745,8887,4.35,778,176,171,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,****
"Nicole Edwards
","
      Ethan
",4.28,148458,13307,4.46,6554,708,688,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,****
"A.J.  Rose
","
      Queers
",4.18,8480,1451,4.31,345,81,423,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,****
"Mercy Celeste
","
      Offside Chance
",3.86,30477,3440,4.05,1805,182,265,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,****
"J.L. Merrow
","
      Relief Valve
",3.75,37517,6249,3.97,1879,280,357,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,****
"Eli Easton
","
      The Mating of Michael
",3.98,51464,9688,4.15,2682,493,240,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,****
"Anyta Sunday
","
      rock
",3.97,33370,6539,4.21,4675,940,251,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,****
"Amelia C. Gormley
","
      Strain
",3.75,6496,1538,3.88,1636,296,375,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,****
"Lisa Henry
","
      When All the World Sleeps
",3.9,32157,6293,3.97,2049,395,340,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,****
"Kade Boehme
","
      Trouble & the Wallflower
",3.87,19877,3422,3.78,2428,396,200,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,****
"Joanna Chambers
","
      Enlightened
",4.0,15598,3063,4.34,1747,299,184,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,****
"Nick Wilgus
","
      Shaking the Sugar Tree
",4.08,2872,635,3.89,1375,297,304,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,*****
"S.E. Jakes
","
      Daylight Again
",4.02,33667,4111,4.3,2530,322,265,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,*****
"Kindle Alexander
","
      Full Disclosure
",4.14,40852,6395,4.28,4995,692,350,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,*****
"T.J. Klune
","
      The Art of Breathing
",4.4,66081,12476,4.43,3873,568,350,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,*****
