Life expectancy ,Schooling
65,10.1
59.9,10
59.9,9.9
59.5,9.8
59.2,9.5
58.8,9.2
58.6,8.9
58.1,8.7
57.5,8.4
57.3,8.1
57.3,7.9
57,6.8
56.7,6.5
56.2,6.2
55.3,5.9
54.8,5.5
77.8,14.2
77.5,14.2
77.2,14.2
76.9,14.2
76.6,13.3
76.2,12.5
76.1,12.2
75.3,12
75.9,11.6
74.2,11.4
73.5,10.8
73,10.9
72.8,10.7
73.3,10.7
73.6,10.6
72.6,10.7
75.6,14.4
75.4,14.4
75.3,14.4
75.1,14.4
74.9,14
74.7,13.6
74.4,13.1
74.1,12.6
73.8,12.3
73.4,12.3
72.9,12
72.3,11.7
71.7,11.5
71.6,11.1
71.4,10.9
71.3,10.7
52.4,11.4
51.7,11.4
51.1,11.4
56,10.3
51,9.4
49.6,9
49.1,8.5
48.7,8.1
48.2,7.7
47.7,7.2
47.4,6.8
47.1,6.4
46.8,5.9
46.5,5.5
45.7,5.1
45.3,4.6
76.4,13.9
76.2,13.9
76.1,13.9
75.9,13.8
75.7,14.1
75.6,14.1
75.4,14.2
75.2,14.4
75,14.5
74.8,14.7
74.6,0
74.4,0
74.2,0
74,0
73.8,0
73.6,0
76.3,17.3
76.2,17.3
76,17.3
75.9,17.2
75.7,17.1
75.5,16.8
75.6,16.5
75.4,16.3
74.8,16.3
75.2,16.1
74.9,16.3
74.7,16.3
74.1,16.4
74.1,16.3
74,15.6
74.1,15
74.8,12.7
74.6,12.7
74.4,12.7
74.4,12.7
73.9,12.7
73.5,12.3
73.3,11.9
73.2,12.3
73.5,11.7
72.9,11.2
73,10.9
73,10.9
72.7,10.8
72.6,10.8
72.6,11.1
72,11.2
82.8,20.4
82.7,20.4
82.5,20.3
82.3,20.1
82,19.8
81.9,19.5
81.7,19.1
81.3,19.1
81.3,19
81.2,20.3
81,20.3
86,20.7
83,20.6
79.9,20.1
79.9,20.5
79.5,20.4
81.5,15.9
81.4,15.9
81.1,15.7
88,15.7
